message_id,user_id,user_is_bot,user_first_name,chat_id,chat_type,text,date,context_date,data-formt
112753,803742,False,Alexia,112415,group,Ipsam quis voluptatum.,1720396800,1720396800,2024-07-08
436102,698468,False,Vitória,549410,channel,Fugit explicabo libero alias veniam unde.,1720310400,1720310400,2024-07-07
431617,167847,True,Leonardo,707256,channel,Temporibus provident impedit exercitationem delectus.,1720569600,1720569600,2024-07-10
711078,540687,True,Bárbara,747439,group,Consequuntur distinctio exercitationem tenetur.,1721606400,1721606400,2024-07-22
563242,606246,True,Manuella,455784,group,Nulla dolorem repellat in.,1722297600,1722297600,2024-07-30
453938,383426,True,Raquel,219340,group,Similique odio rem perspiciatis.,1720396800,1720396800,2024-07-08
855768,741381,False,Dra.,679826,group,Velit dignissimos mollitia quibusdam quae magni eius.,1720051200,1720051200,2024-07-04
736324,519380,True,Isabel,308975,channel,Adipisci odit facilis culpa repellendus aspernatur.,1721606400,1721606400,2024-07-22
148984,339343,True,Maria,852219,channel,Fugit voluptas quibusdam reprehenderit.,1721347200,1721347200,2024-07-19
398064,398636,True,Ravi,882977,channel,Eligendi repellat veritatis earum.,1720396800,1720396800,2024-07-08
376133,455342,False,Nathan,339226,group,Quod assumenda aliquid perferendis enim excepturi.,1721347200,1721347200,2024-07-19
666514,546823,True,Clarice,814610,channel,Corrupti cumque maiores rerum.,1720483200,1720483200,2024-07-09
619883,424207,True,Mathias,740068,group,Ducimus magnam nemo qui.,1721174400,1721174400,2024-07-17
807083,428328,False,Dra.,606129,group,Officia minima ex possimus nihil eveniet.,1722124800,1722124800,2024-07-28
788961,631635,True,Evelyn,663264,group,Rem illum est ipsam cupiditate veritatis rerum.,1720483200,1720483200,2024-07-09
266478,773088,False,Alícia,741381,channel,Voluptatibus odit suscipit a facere laudantium corporis.,1721001600,1721001600,2024-07-15
491391,516039,False,Sr.,115652,group,Velit accusantium quae accusantium.,1720483200,1720483200,2024-07-09
117004,228999,True,Maysa,461569,group,Id quas ipsa minima suscipit suscipit.,1722124800,1722124800,2024-07-28
730162,887033,False,Enrico,767043,channel,Quis voluptatibus hic numquam nesciunt.,1721865600,1721865600,2024-07-25
483539,128821,True,Rebeca,713197,group,Quos cupiditate nobis consequuntur aperiam.,1721779200,1721779200,2024-07-24
317035,625746,True,Valentim,334949,group,Perspiciatis ab necessitatibus quis veritatis.,1721606400,1721606400,2024-07-22
580675,407957,True,Rafaela,576541,group,Corporis ullam ex praesentium libero cum id necessitatibus.,1720656000,1720656000,2024-07-11
246471,693762,True,Caio,373390,channel,Quam necessitatibus provident hic dignissimos sunt voluptas odio.,1720137600,1720137600,2024-07-05
832680,215531,False,Srta.,411714,group,Ducimus hic rem provident.,1720483200,1720483200,2024-07-09
729577,109334,True,Camila,383023,channel,Maiores illum voluptatem.,1721606400,1721606400,2024-07-22
189388,629984,False,Luiz,522045,channel,Vitae sapiente soluta assumenda sit fugiat vero.,1719792000,1719792000,2024-07-01
870549,791327,True,Arthur,378902,channel,Ullam neque molestias debitis minus excepturi.,1720310400,1720310400,2024-07-07
356425,279439,True,Arthur,619064,channel,Distinctio sequi enim aut aperiam reprehenderit voluptatem.,1720224000,1720224000,2024-07-06
852219,590971,True,Carlos,456018,group,Voluptas asperiores soluta minima.,1722038400,1722038400,2024-07-27
749051,385597,True,Danilo,817171,group,Magnam tenetur doloremque libero expedita.,1719878400,1719878400,2024-07-02
258665,874605,True,Caroline,531600,channel,Illo illo pariatur minima vero possimus.,1719878400,1719878400,2024-07-02
845407,565686,True,Dr.,436102,channel,Nihil necessitatibus est facilis illo quibusdam.,1720569600,1720569600,2024-07-10
825647,715004,False,Maria,429134,group,Provident tempora asperiores asperiores omnis ut perferendis animi.,1721433600,1721433600,2024-07-20
161178,820486,False,Igor,117693,group,Facilis voluptatem temporibus.,1720137600,1720137600,2024-07-05
345700,419943,True,Isabelly,474621,group,Rerum mollitia quas animi.,1721433600,1721433600,2024-07-20
827909,386923,False,Arthur,231300,group,Excepturi veniam reiciendis rem iure exercitationem optio.,1720051200,1720051200,2024-07-04
652097,603113,False,Ana,450389,group,Exercitationem numquam maiores asperiores.,1721865600,1721865600,2024-07-25
636549,569937,True,Emanuella,787687,group,Quod perferendis totam natus impedit debitis.,1720656000,1720656000,2024-07-11
602086,319596,True,Sr.,789026,channel,Laborum architecto molestias maiores id corrupti.,1721433600,1721433600,2024-07-20
579141,159709,True,Dr.,198319,channel,Maiores ipsum perspiciatis necessitatibus.,1720396800,1720396800,2024-07-08
847292,865947,True,José,889477,channel,Tempore minus error consequatur.,1720224000,1720224000,2024-07-06
732957,294935,False,Alana,231313,group,Adipisci magni deserunt quo.,1721433600,1721433600,2024-07-20
805367,759620,False,Davi,760153,group,Dolorum quam incidunt accusamus nulla reiciendis voluptate.,1722211200,1722211200,2024-07-29
776962,432670,True,Luigi,150258,channel,Occaecati quas labore dolore reiciendis assumenda expedita.,1721952000,1721952000,2024-07-26
698650,864283,False,Maria,631544,group,Aspernatur fugiat similique corporis saepe.,1720656000,1720656000,2024-07-11
527778,601449,True,Luan,531561,group,Voluptatibus eaque quaerat quaerat quidem aliquam.,1720656000,1720656000,2024-07-11
840675,679826,False,Maria,619337,channel,Tenetur totam veritatis vel dolore cumque ullam molestias.,1720137600,1720137600,2024-07-05
699521,880299,False,Sra.,348222,group,Odio magni voluptatem laborum fugiat.,1721779200,1721779200,2024-07-24
118070,573785,True,Pedro,646208,channel,Minus aperiam quo alias fugiat reprehenderit commodi officiis.,1722038400,1722038400,2024-07-27
714783,263553,False,Vitor,295546,group,Amet ducimus eaque aliquid eveniet.,1720828800,1720828800,2024-07-13
573785,210565,False,Lívia,390680,channel,Totam dolor cumque deserunt neque.,1721174400,1721174400,2024-07-17
656790,491820,True,Danilo,873942,channel,Occaecati commodi fuga nemo explicabo vitae beatae aspernatur.,1719878400,1719878400,2024-07-02
701159,246510,False,Isis,548513,group,Voluptatibus dolorem consectetur occaecati quibusdam possimus.,1722384000,1722384000,2024-07-31
394489,369321,False,Isaac,688510,group,Commodi voluptas recusandae cupiditate labore.,1722124800,1722124800,2024-07-28
262305,278022,True,Caleb,180522,group,Voluptatum ut quaerat quod natus necessitatibus amet magnam.,1721865600,1721865600,2024-07-25
157850,710519,False,Luísa,503663,group,Enim necessitatibus at ab quo ducimus.,1721520000,1721520000,2024-07-21
730474,721660,True,Dr.,211319,group,Ullam provident iure dignissimos modi rem perferendis.,1720483200,1720483200,2024-07-09
303515,713197,True,Maria,231625,channel,Voluptatem explicabo doloribus fuga debitis omnis molestias.,1722038400,1722038400,2024-07-27
136829,742655,False,Luara,579830,group,Beatae alias officiis soluta nobis distinctio.,1719878400,1719878400,2024-07-02
619415,672052,True,Sra.,893572,group,Vel vero laudantium in hic.,1721779200,1721779200,2024-07-24
489025,287330,True,Joaquim,731098,channel,Assumenda optio maxime repellat repellat qui.,1721865600,1721865600,2024-07-25
592739,664174,False,Maria,355138,channel,Dignissimos facilis quam possimus.,1722384000,1722384000,2024-07-31
239217,692670,False,Maria,606038,group,Molestiae et atque consequuntur provident eum.,1721520000,1721520000,2024-07-21
145253,602489,True,Murilo,334156,group,Fugit qui consequuntur eos quam illum.,1722384000,1722384000,2024-07-31
534148,862359,False,Nicole,136829,group,Rem possimus temporibus.,1720569600,1720569600,2024-07-10
781226,742668,False,Gustavo,147099,group,Facere occaecati repellat.,1720656000,1720656000,2024-07-11
378863,887397,True,Breno,784515,channel,Laudantium aliquid aspernatur eaque ab molestiae debitis saepe.,1720483200,1720483200,2024-07-09
760374,348599,True,Bianca,602489,group,Sapiente dignissimos dignissimos est.,1722211200,1722211200,2024-07-29
138779,109399,True,Emanuel,259341,group,Repellendus magni excepturi amet ipsa non quam.,1720483200,1720483200,2024-07-09
408321,695725,True,Valentim,672754,group,Temporibus iusto voluptate reprehenderit sunt error officia.,1720396800,1720396800,2024-07-08
347182,689563,False,João,299550,channel,Nisi laborum corrupti provident corrupti.,1722124800,1722124800,2024-07-28
555182,725443,True,Erick,748804,group,Deserunt delectus fugiat cum fugit modi.,1720569600,1720569600,2024-07-10
691162,165741,False,Benjamim,113637,channel,Laborum ea explicabo deleniti odit modi earum.,1720742400,1720742400,2024-07-12
601839,345128,False,João,764755,channel,Non voluptatibus eius quia molestias atque hic eveniet.,1720137600,1720137600,2024-07-05
575618,551646,True,Sr.,856678,group,Deserunt distinctio dolore earum asperiores reprehenderit.,1720310400,1720310400,2024-07-07
420541,757241,False,Natália,317035,group,Excepturi asperiores voluptates occaecati eum veniam ipsam accusantium.,1719878400,1719878400,2024-07-02
779354,383023,True,Benicio,210513,channel,Nemo doloribus ex placeat.,1719878400,1719878400,2024-07-02
467354,272406,True,Maria,571003,group,Nihil ratione nostrum quidem nostrum corporis.,1722038400,1722038400,2024-07-27
679826,833720,True,Ágatha,432670,channel,Sit porro officia aliquam.,1721865600,1721865600,2024-07-25
